Item;Cups;Descripción ;Mebresias ;Particular
169;870004;Estudios iniciales ;75000;97500
170;23430303;Incrustaciones en zirconio;890000;1157000
171;242401;Injerto oseo (procedimiento);490000;637000
172;23430302;Complementario protesis flexible (eps);400000;
173;23430304;Complementario protesis diente super c (eps);300000;
174;245100;Regularizacion de reborde de 2 a 4 dientes ;290000;377000
175;2473005;Complementarios placa miorelajante digitalizacion (eps) confort plus activa siliconada;400000;
176;237330301;Complementario endodoncia multiradicular (eps);400000;
177;23730101;Complementario endodoncia birradicular (eps);300000;
178;23730201;Complementario endodoncia unirradicular (eps);200000;
179;E412361;Anestesia para procedimientos de salud oral en adulto con condicion especial;7200000;9360000
180;24110101;Toma de biopsia;420000;546000
181;24110102;Estudio de biopsia;430000;559000
182;237601;Fistulizacion endodontica;290000;377000
183;23740101;Porcion mta;450000;585000
184;23420116;Complementario corona zirconio eps;600000;
185;2342014;Carilla estetica en resina;350000;455000
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
